createTime|dependencyTime|fromId|toId
1669756693134|1665007103216|5497558139446|14293651162062
1669759862585|1638480689124|8796093023178|9895604650238
1669824845625|1662562288950|2199023256545|13194139533466
1669828389062|1661106514012|13194139534110|3298534883658
1669834358170|1665838337629|764|14293651161329
1669883483499|1658289028484|13194139533597|6597069766723
1669895693950|1667583697746|14293651161154|6597069767264
1669931637342|1645555469263|3298534884130|10995116278582
1669934155163|1663009033531|14293651161567|4398046511556
1670027095511|1669063546400|14293651161204|2199023255687
1670029302861|1668121373753|3298534884120|14293651161892
1670088282188|1669013556911|14293651161323|8796093023067
1670110450580|1656690824650|1099511628596|13194139533784
1670127947276|1669272190263|14293651161810|3298534883405
1670181687071|1635559116467|8796093022770|4398046511155
1670257114229|1643963519141|10995116278286|4398046511933
1670257810037|1657794975452|4398046511111|13194139533827
1670320081791|1667251287882|14293651161876|5497558139109
1670323600819|1659726216780|10995116277817|13194139534189
1670327903577|1665538063989|14293651161794|2199023256163
1670329051430|1665551897347|13194139534189|14293651161289
1670365374958|1658648023803|3298534883592|13194139534270
1670452087737|1642968964615|1099511628000|9895604650737
1670505683598|1662952141760|14293651161970|6597069767228
1670519005510|1667994084917|14293651161294|2199023256282
1670534482502|1669447595744|14293651162051|15393162789409
1670550589080|1669505040102|13194139533765|15393162789401
1670583982345|1670292908141|5497558139265|15393162789410
1670584024180|1653864020413|12094627906089|3298534883452
1670627257652|1668672243057|12094627905784|14293651161866
1670641829252|1647973330531|10995116277885|9895604650773
1670649822832|1668040975822|14293651162055|14293651161819
1670650367673|1615800633829|1099511628000|5497558138929
1670670731641|1665860646560|10995116278005|14293651161665
1670681026596|1666686003376|14293651161872|12094627905606
1670696466803|1652455846545|12094627905848|2199023256243
1670704648678|1669819274403|15393162788918|336
1670739451188|1661472701724|1099511628148|13194139533312
1670743012613|1619941058982|6597069767280|2199023255701
1670745863745|1665261324184|14293651161423|7696581394560
1670751326767|1668265168561|14293651161171|8796093022466
1670766426400|1669272190263|1099511628517|14293651161810
1670775838774|1668858816263|14293651161127|14293651161950
1670800232422|1666188224306|8796093022897|14293651161784
1670819875237|1655114392289|8796093022649|12094627906431
1670823810203|1633975318529|8796093022808|1099511628562
1670863613674|1668672243057|14293651161866|2199023256175
1670865617842|1666711952284|93|14293651161539
1670869308968|1661298034494|12094627906483|13194139533856
1670885333534|1668672243057|9895604650302|14293651161866
1670894134929|1606530937529|4398046511680|2199023256370
1670898870765|1658758036329|13194139534290|4398046511714
1670963983844|1657091660986|1099511627831|13194139533631
1670989337195|1669819274403|15393162788918|8796093022320
1670991209864|1660811230911|13194139534055|2199023256529
1671077057898|1668672243057|14293651161866|14293651161423
1671077474154|1593900291305|2199023256545|2199023256395
1671104838602|1671080574747|930|15393162789171
1671105867004|1668265168561|9895604650735|14293651161171
1671145464858|1667301282692|12094627906058|14293651161276
1671153250411|1671080574747|14293651162051|15393162789171
1671193388775|1647059612943|10995116278119|5497558139752
1671264842043|1625732004589|2199023256122|7696581395159
1671289416229|1666014558795|3298534883658|14293651161450
1671334050713|1633634764513|7696581395045|8796093022564
1671349368548|1628024322909|2199023256399|7696581394549
1671353094175|1670291151425|12094627905538|15393162789812
1671357430731|1671317870204|15393162789658|13194139533877
1671383536091|1611385132152|5497558139261|393
1671386457664|1671317870204|10995116278168|15393162789658
1671393475094|1670566648164|15393162788912|635
1671408737942|1655292550001|6597069766847|12094627905834
1671415378359|1670183068013|15393162789108|2199023256223
1671443870003|1653017895907|12094627906174|2199023255811
1671460945167|1656653753037|13194139534009|4398046511910
1671602797819|1627606221289|1099511628390|7696581394539
