createTime|dependencyTime|fromId|toId
1669710560507|1645941459911|13194139534952|21990232556205
1669729151050|1668973740659|10995116278780|28587302323444
1669742415476|1655324470478|24189255811396|24189255812886
1669780148521|1668811948693|2199023256343|28587302322521
1669793194494|1639018669794|19791209301346|15393162789344
1669829704233|1667697104222|28587302322992|4398046511829
1669854902976|1668032890184|28587302323110|4398046512835
1669855549054|1655760896801|13194139534222|24189255812611
1669859770425|1667223253361|28587302322898|307
1669874953853|1661371136095|26388279068007|15393162789225
1669911221361|1668653194816|10995116278901|28587302322245
1669955195176|1666085901257|4398046512578|28587302323579
1669999683047|1668653194816|28587302322245|24189255811177
1670008020065|1666457254272|28587302323558|6597069767868
1670012642823|1668483790823|28587302322689|10995116277884
1670025916670|1646707927720|1733|21990232556146
1670027894878|1666915236333|28587302323116|21990232556849
1670048168177|1669098925989|28587302323875|15393162788906
1670056496071|1662527511528|8796093023385|26388279068255
1670065111212|1641850335678|10995116277985|19791209301325
1670081981183|1664716648449|28587302324130|15393162790138
1670082924547|1650536132687|1605|24189255812022
1670097600848|1668716012449|28587302323659|28587302323020
1670121338821|1642723827694|19791209300070|19791209300630
1670126896188|1611979432731|4398046512897|10995116278741
1670132226537|1665758432111|28587302322416|17592186046049
1670180050140|1665113719709|28587302323324|4398046512746
1670183490087|1669940400664|15393162790582|30786325578501
1670196318382|1665853250472|19791209301738|28587302322451
1670204286796|1628767768263|15393162790162|2199023256628
1670206560479|1668269672882|28587302323914|19791209301737
1670211152004|1666848430567|743|28587302322980
1670217508894|1648858672179|44|21990232557173
1670220185200|1668697572549|28587302323594|4398046512242
1670221316292|1667223253361|24189255811767|28587302322898
1670239658811|1649030152569|21990232555817|19791209300528
1670264322767|1643275225247|6597069767801|21990232555900
1670279390254|1610502895166|8796093023481|2199023256765
1670286180281|1598921604765|4398046511407|6597069768310
1670316619763|1659837762822|21990232556935|26388279068233
1670320382024|1621813644745|4398046512058|13194139533780
1670322825666|1646460167841|21990232557378|15393162789225
1670340740520|1669614876309|4398046511663|30786325578421
1670343899149|1667330350456|15393162789722|28587302323251
1670352219755|1669110851059|2199023257155|28587302323274
1670363626332|1640131925823|17592186045396|19791209300513
1670364276350|1667073387700|28587302323950|8796093023350
1670370312639|1670041318423|30786325579478|26388279068334
1670371903233|1661526377413|8796093024075|26388279067421
1670379076983|1660318497788|26388279068271|24189255812587
1670392928587|1664656345693|2199023257468|28587302322722
1670398506967|1668255255575|28587302322411|28587302323251
1670400386304|1669326672557|15393162789435|30786325578262
1670401969653|1660065209959|4398046511208|26388279066759
1670404060819|1669078596578|28587302322489|1490
1670407890536|1665209519255|24189255811396|28587302322619
1670442951323|1669045227841|21990232555841|28587302322408
1670451684129|1641741247883|19791209301068|8796093024204
1670454818756|1667697104222|17592186045918|28587302322992
1670458958752|1663602690593|21990232555896|28587302323272
1670478461325|1642185380622|13194139534268|19791209300508
1670488631285|1662184905856|15393162790766|26388279067033
1670509241317|1655781996530|6597069768438|24189255812819
1670541120906|1669037996117|26388279068345|28587302323469
1670558629871|1639828832297|19791209300914|6597069768292
1670562714515|1669047682122|19791209301566|28587302322648
1670589371114|1669037996117|28587302323469|2199023255846
1670613507189|1669968852313|24189255812269|30786325579195
1670652180273|1660065209959|26388279066759|17592186045638
1670671702815|1661563566849|4398046512329|26388279066700
1670710801483|1658368613228|26388279067065|10995116279398
1670712029791|1668603502728|1463|28587302322628
1670726777404|1665517020167|28587302323867|15393162789225
1670733971900|1670128533107|30786325579432|24189255811333
1670777315235|1628767768263|13194139533481|15393162790162
1670783604983|1668973118127|2199023256813|28587302323542
1670788294600|1650270580709|8796093022430|24189255811665
1670792487934|1663468251578|28587302322855|15393162789781
1670795288891|1658246575601|17592186045808|26388279068517
1670803474466|1668800114601|28587302323427|2199023257397
1670805563107|1655731858443|10995116278290|24189255811135
1670813057333|1670352487625|30786325578653|15393162790418
1670821431343|1667920375154|10995116279398|28587302324059
1670856990967|1661453305660|26388279068065|19791209300413
1670859565030|1661884373451|6597069766803|26388279067160
1670864162684|1669190478577|28587302322848|28587302324098
1670865890009|1667697104222|28587302322992|307
1670884385491|1661738124862|26388279066627|2199023257500
1670904757570|1669862897991|26388279068501|30786325578345
1670906521344|1655323915459|4398046511111|24189255812587
1670918046776|1668773078798|15393162789705|28587302322731
1670928741880|1668973740659|28587302323444|17592186046027
1670931611863|1668773078798|13194139534222|28587302322731
1670936423866|1664638662399|15393162789183|28587302323493
1670986859126|1670317094611|21990232556635|30786325578280
1670992740234|1666313525532|15393162790303|28587302323495
