fromId|toId|createTime
648|911|2020-06-28 06:11:02.339
2199023255767|1871|2020-07-01 13:27:35.349
2199023256309|2199023256964|2020-07-06 09:02:21.674
4398046512967|433|2020-08-31 08:22:06.607
4398046512984|4398046512192|2020-10-24 03:20:21.441
499|6597069768471|2020-11-01 12:49:41.038
6597069767855|6597069767738|2020-11-06 06:50:03.038
2199023256964|6597069767646|2020-11-26 19:58:20.467
6597069767571|1146|2020-12-06 03:38:54.5
6597069766679|8796093023351|2020-12-08 19:16:11.7
6597069768570|4398046512536|2020-12-11 03:39:02.525
8796093024036|2199023256678|2020-12-13 11:59:32.953
2199023257486|6597069766687|2020-12-18 01:05:45.465
1463|6597069767198|2020-12-27 12:39:22.23
6597069767803|2199023257425|2021-01-10 09:45:12.356
1871|769|2021-01-11 00:17:05.517
8796093023564|4398046512800|2021-01-16 12:28:25.98
4398046512967|6597069766911|2021-01-17 18:37:54.613
6597069766847|6597069768521|2021-01-20 22:55:26.856
354|6597069767513|2021-01-22 07:17:25.864
1444|8796093023462|2021-02-02 16:33:08.764
8796093022236|4398046512607|2021-02-09 12:53:34.087
8796093023634|4398046512863|2021-02-10 03:59:11.242
2199023257246|1247|2021-02-11 12:11:23.509
2199023256025|1753|2021-02-15 14:21:45.357
4398046511308|10995116278005|2021-02-17 19:31:37.323
6597069767880|1025|2021-02-19 23:12:21.975
10995116277884|2199023257468|2021-03-03 13:31:05.582
6597069767391|8796093022710|2021-03-09 22:25:35.37
2199023256808|2199023256258|2021-03-15 01:54:20.559
4398046512866|10995116279024|2021-03-16 22:53:44.347
8796093022225|8796093024083|2021-03-22 14:49:35.608
2199023255767|2199023257387|2021-03-27 01:16:38.504
8796093023270|10995116278106|2021-03-30 01:14:22.657
6597069767880|1666|2021-04-01 22:58:18.571
4398046511407|6597069768150|2021-04-12 23:52:33.381
4398046511258|4398046512771|2021-04-13 13:00:50.057
6597069768112|6597069768178|2021-04-17 05:35:20.499
24|6597069767544|2021-04-21 00:58:40.187
4398046511878|6597069767513|2021-04-22 16:05:33.036
13194139535202|263|2021-04-24 04:00:54.992
6597069768521|10995116277894|2021-04-27 02:17:24.312
4398046512329|10995116279571|2021-04-30 21:06:22.868
6597069767803|10995116279666|2021-05-02 05:13:48.954
363|6597069768550|2021-05-07 03:19:00.821
10995116279571|6597069767840|2021-05-09 14:29:45.603
6597069767736|6597069767376|2021-05-10 06:47:24.683
4398046511976|1764|2021-05-13 02:04:25.83
13194139533348|6597069767043|2021-05-16 07:46:32.886
4398046511816|6597069767178|2021-05-18 02:16:15.506
6597069768326|13194139534952|2021-05-19 02:00:49.795
13194139533765|2199023256468|2021-05-25 10:30:45.082
10995116278168|8796093023792|2021-05-27 06:02:31.695
4398046512418|13194139534188|2021-05-28 00:53:20.484
2199023257246|4398046513031|2021-05-31 00:53:51.047
6597069768438|4398046511663|2021-05-31 06:22:27.772
8796093023462|13194139533542|2021-06-01 08:24:08.862
2199023256210|6597069767544|2021-06-04 20:50:24.727
6597069768102|6597069767131|2021-06-05 21:48:43.056
6597069767047|13194139534835|2021-06-09 03:04:28.164
10995116278101|10995116278873|2021-06-09 16:48:41.858
8796093022236|4398046512986|2021-06-12 08:46:25.923
8796093023480|6597069768510|2021-06-12 09:00:04.754
